Symbol Tags,IP Address,Data Type,Target Address,Drection,Mark ,
SN[0],192.168.0.1,String,DB256.String0.60,PLC<>PC,天窗SN[3],
SN[1],192.168.0.1,String,DB256.String64.60,PLC<>PC,天窗SN[4],
SN[2],192.168.0.1,String,DB256.String128.60,PLC<>PC,天窗SN[5],
SN[3],192.168.0.1,String,DB256.String192.60,PLC<>PC,天窗SN[6],
SN[4],192.168.0.1,String,DB256.String256.60,PLC<>PC,天窗SN[7],
SN[5],192.168.0.1,String,DB256.String320.60,PLC<>PC,天窗SN[8],
SN[6],192.168.0.1,String,DB256.String384.60,PLC<>PC,天窗SN[9],
SN[7],192.168.0.1,String,DB256.String448.60,PLC<>PC,天窗SN[10],
SN[8],192.168.0.1,String,DB256.String512.60,PLC<>PC,天窗SN[11],
SN[9],192.168.0.1,String,DB256.String576.60,PLC<>PC,天窗SN[12],
SN[10],192.168.0.1,String,DB256.String640.60,PLC<>PC,天窗SN[13],
SN[11],192.168.0.1,String,DB256.String704.60,PLC<>PC,天窗SN[14],
SN[12],192.168.0.1,String,DB256.String768.60,PLC<>PC,天窗SN[15],
SN[13],192.168.0.1,String,DB256.String832.60,PLC<>PC,天窗SN[16],
SN[14],192.168.0.1,String,DB256.String896.60,PLC<>PC,天窗SN[17],
Frame[0],192.168.0.1,String,DB256.String960.50,PLC<>PC,天窗颜色[3],
Frame[1],192.168.0.1,String,DB256.String1012.50,PLC<>PC,天窗颜色[4],
Frame[2],192.168.0.1,String,DB256.String1064.50,PLC<>PC,天窗颜色[5],
Frame[3],192.168.0.1,String,DB256.String1116.50,PLC<>PC,天窗颜色[6],
Frame[4],192.168.0.1,String,DB256.String1168.50,PLC<>PC,天窗颜色[7],
Frame[5],192.168.0.1,String,DB256.String1220.50,PLC<>PC,天窗颜色[8],
Frame[6],192.168.0.1,String,DB256.String1272.50,PLC<>PC,天窗颜色[9],
Frame[7],192.168.0.1,String,DB256.String1324.50,PLC<>PC,天窗颜色[10],
Frame[8],192.168.0.1,String,DB256.String1376.50,PLC<>PC,天窗颜色[11],
Frame[9],192.168.0.1,String,DB256.String1428.50,PLC<>PC,天窗颜色[12],
Frame[10],192.168.0.1,String,DB256.String1480.50,PLC<>PC,天窗颜色[13],
Frame[11],192.168.0.1,String,DB256.String1532.50,PLC<>PC,天窗颜色[14],
Frame[12],192.168.0.1,String,DB256.String1584.50,PLC<>PC,天窗颜色[15],
Frame[13],192.168.0.1,String,DB256.String1636.50,PLC<>PC,天窗颜色[16],
Frame[14],192.168.0.1,String,DB256.String1688.50,PLC<>PC,天窗颜色[17],
Frame[15],192.168.0.1,String,DB256.String1740.50,PLC<>PC,天窗颜色[18],
Frame[16],192.168.0.1,String,DB256.String1792.50,PLC<>PC,天窗颜色[19],
Frame[17],192.168.0.1,String,DB256.String1844.50,PLC<>PC,天窗颜色[20],
Frame[18],192.168.0.1,String,DB256.String1896.50,PLC<>PC,天窗颜色[21],
Frame[19],192.168.0.1,String,DB256.String1948.50,PLC<>PC,天窗颜色[22],
Model[0],192.168.0.1,String,DB256.String2000.4,PLC<>PC,型号[3],
Model[1],192.168.0.1,String,DB256.String2006.4,PLC<>PC,型号[4],
Model[2],192.168.0.1,String,DB256.String2012.4,PLC<>PC,型号[5],
Model[3],192.168.0.1,String,DB256.String2018.4,PLC<>PC,型号[6],
Model[4],192.168.0.1,String,DB256.String2024.4,PLC<>PC,型号[7],
Model[5],192.168.0.1,String,DB256.String2030.4,PLC<>PC,型号[8],
Model[6],192.168.0.1,String,DB256.String2036.4,PLC<>PC,型号[9],
Model[7],192.168.0.1,String,DB256.String2042.4,PLC<>PC,型号[10],
Model[8],192.168.0.1,String,DB256.String2048.4,PLC<>PC,型号[11],
Model[9],192.168.0.1,String,DB256.String2054.4,PLC<>PC,型号[12],
Model[10],192.168.0.1,String,DB256.String2060.4,PLC<>PC,型号[13],
Model[11],192.168.0.1,String,DB256.String2066.4,PLC<>PC,型号[14],
Model[12],192.168.0.1,String,DB256.String2072.4,PLC<>PC,型号[15],
Model[13],192.168.0.1,String,DB256.String2078.4,PLC<>PC,型号[16],
Model[14],192.168.0.1,String,DB256.String2084.4,PLC<>PC,型号[17],
Station[0],192.168.0.1,String,DB256.String2240.50,PLC<>PC,站号[3],
Station[1],192.168.0.1,String,DB256.String2292.50,PLC<>PC,站号[4],
Station[2],192.168.0.1,String,DB256.String2344.50,PLC<>PC,站号[5],
Station[3],192.168.0.1,String,DB256.String2396.50,PLC<>PC,站号[6],
Station[4],192.168.0.1,String,DB256.String2448.50,PLC<>PC,站号[7],
Station[5],192.168.0.1,String,DB256.String2500.50,PLC<>PC,站号[8],
Station[6],192.168.0.1,String,DB256.String2552.50,PLC<>PC,站号[9],
Station[7],192.168.0.1,String,DB256.String2604.50,PLC<>PC,站号[10],
Station[8],192.168.0.1,String,DB256.String2656.50,PLC<>PC,站号[11],
Station[9],192.168.0.1,String,DB256.String2708.50,PLC<>PC,站号[12],
Station[10],192.168.0.1,String,DB256.String2760.50,PLC<>PC,站号[13],
Station[11],192.168.0.1,String,DB256.String2812.50,PLC<>PC,站号[14],
Station[12],192.168.0.1,String,DB256.String2864.50,PLC<>PC,站号[15],
Station[13],192.168.0.1,String,DB256.String2916.50,PLC<>PC,站号[16],
Station[14],192.168.0.1,String,DB256.String2968.50,PLC<>PC,站号[17],
Station[15],192.168.0.1,String,DB256.String3020.50,PLC<>PC,站号[18],
Station[16],192.168.0.1,String,DB256.String3072.50,PLC<>PC,站号[19],
Station[17],192.168.0.1,String,DB256.String3124.50,PLC<>PC,站号[20],
Station[18],192.168.0.1,String,DB256.String3176.50,PLC<>PC,站号[21],
Station[19],192.168.0.1,String,DB256.String3228.50,PLC<>PC,站号[22],
Color[0],192.168.0.1,String,DB256.String2090.8,PLC<>PC,遮阳帘颜色[3],
Color[1],192.168.0.1,String,DB256.String2100.8,PLC<>PC,遮阳帘颜色[4],
Color[2],192.168.0.1,String,DB256.String2110.8,PLC<>PC,遮阳帘颜色[5],
Color[3],192.168.0.1,String,DB256.String2120.8,PLC<>PC,遮阳帘颜色[6],
Color[4],192.168.0.1,String,DB256.String2130.8,PLC<>PC,遮阳帘颜色[7],
Color[5],192.168.0.1,String,DB256.String2140.8,PLC<>PC,遮阳帘颜色[8],
Color[6],192.168.0.1,String,DB256.String2150.8,PLC<>PC,遮阳帘颜色[9],
Color[7],192.168.0.1,String,DB256.String2160.8,PLC<>PC,遮阳帘颜色[10],
Color[8],192.168.0.1,String,DB256.String2170.8,PLC<>PC,遮阳帘颜色[11],
Color[9],192.168.0.1,String,DB256.String2180.8,PLC<>PC,遮阳帘颜色[12],
Color[10],192.168.0.1,String,DB256.String2190.8,PLC<>PC,遮阳帘颜色[13],
Color[11],192.168.0.1,String,DB256.String2200.8,PLC<>PC,遮阳帘颜色[14],
Color[12],192.168.0.1,String,DB256.String2210.8,PLC<>PC,遮阳帘颜色[15],
Color[13],192.168.0.1,String,DB256.String2220.8,PLC<>PC,遮阳帘颜色[16],
Color[14],192.168.0.1,String,DB256.String2230.8,PLC<>PC,遮阳帘颜色[17],
Station Status,192.168.0.1,Word,DB256.w3280,PLC<>PC,站状态,
Spare Status,192.168.0.1,Word,DB256.W3282,PLC<>PC,其他状态,
Write_Sign,192.168.0.1,Bit,DB256.DBX3284.3,,PLC<>PC,OK
FTT_Run,192.168.0.1,Bit,DB256.dbx3282.7,PLC<>PC,Heartbeat,
Online_Status,192.168.0.1,Bit,DB256.DBX3284.7,PLC<>PC,扫描枪扫码状态,
Outline_Status,192.168.0.1,Bit,DB256.DBX3282.1,PLC<>PC,下线状态,
Outline_TestOK,192.168.0.1,Bit,DB256.DBX3282.0,PLC<>PC,下线测试OK信号,
Exchange_Model,192.168.0.1,Bit,DB256.DBX3282.6,PLC<>PC,换型Enbale,
NVH_NG,192.168.0.1,Bit,DB256.DBX3282.5,PLC<>PC,静音房NG,
